Taxa,Strategy,Opinionated,n,MinUFBoot,ans_pauci,pseudos,pseudos_be.ma,pseudos_comata,comata_be.ma
PodoCerco,1,0,6302,0,0.42,0.45,0.39,0.27,0.35
PodoCerco,1,0,6302,50,0.47,0.51,0.41,0.23,0.36
PodoCerco,1,0,6302,75,0.55,0.62,0.41,0.19,0.4
PodoCerco,1,0,6302,95,0.82,0.83,0.48,0.12,0.4
PodoCerco,2,0.5,594,0,0.51,0.57,0.4,0.2,0.4
PodoCerco,2,0.5,594,50,0.52,0.66,0.4,0.19,0.41
PodoCerco,2,0.5,594,75,0.59,0.64,0.42,0.16,0.41
PodoCerco,2,0.5,594,95,0.79,0.82,0.47,0.09,0.44
PodoCerco,2,0.7,29,0,0.66,0.67,0.47,0.13,0.4
PodoCerco,2,0.7,29,50,0.66,0.74,0.48,0.13,0.39
PodoCerco,2,0.7,29,75,0.67,0.73,0.49,0.14,0.37
PodoCerco,2,0.7,29,95,0.83,0.9,0.62,0,0.38
PodoCerco,2,0.75,16,0,0.56,0.69,0.55,0.02,0.43
PodoCerco,2,0.75,16,50,0.56,0.73,0.55,0.02,0.43
PodoCerco,2,0.75,16,75,0.58,0.73,0.59,0.03,0.38
PodoCerco,2,0.75,16,95,0.83,0.9,0.62,0,0.38
Podospora,1,0,6851,0,0.5,0.46,0.39,0.26,0.34
Podospora,1,0,6851,50,0.57,0.5,0.41,0.23,0.35
Podospora,1,0,6851,75,0.68,0.58,0.42,0.2,0.38
Podospora,1,0,6851,95,0.88,0.81,0.42,0.1,0.48
Podospora,2,0.5,1693,0,0.63,0.55,0.63,0.2,0.17
Podospora,2,0.5,1693,50,0.66,0.57,0.41,0.2,0.39
Podospora,2,0.5,1693,75,0.73,0.63,0.42,0.17,0.41
Podospora,2,0.5,1693,95,0.87,0.81,0.48,0.1,0.42
Podospora,2,0.7,237,0,0.74,0.69,0.16,0.16,0.69
Podospora,2,0.7,237,50,0.75,0.69,0.36,0.14,0.5
Podospora,2,0.7,237,75,0.78,0.71,0.38,0.13,0.49
Podospora,2,0.7,237,95,0.85,0.76,0.42,0.05,0.53
Podospora,2,0.75,124,0,0.75,0.69,0.36,0.15,0.49
Podospora,2,0.75,124,50,0.77,0.7,0.35,0.15,0.49
Podospora,2,0.75,124,75,0.77,0.72,0.36,0.15,0.49
Podospora,2,0.75,124,95,0.83,0.78,0.41,0.05,0.53
